feature,importance
purpose_A46,0.05310043085957092
checking_status_A14,0.04903350156746345
credit_history_A34,0.042210217406506885
property_A124,0.036296223536561714
savings_status_A61,0.03624641744625058
employment_since_A74,0.034657224559822515
foreign_worker_A202,0.034512328284074585
foreign_worker_A201,0.0344077236585159
checking_status_A11,0.033311706782237424
savings_status_A64,0.03010735394018443
housing_A151,0.02953476483215841
purpose_A410,0.028944113835041405
employment_since_A71,0.0288502419133702
housing_A153,0.028776526238063475
purpose_A41,0.027240612434751156
